Company,Date,State
Aurora Innovation,2019/01/10,California
GM Cruise,2019/01/07,California
GM Cruise,2019/01/10,California
GM Cruise,2019/02/14,California
GM Cruise,2019/02/27,California
GM Cruise,2019/03/08,California
GM Cruise,2019/03/23,California
GM Cruise,2019/03/24,California
GM Cruise,2019/04/03,California
GM Cruise,2019/04/10,California
GM Cruise,2019/04/10,California
GM Cruise,2019/04/14,California
GM Cruise,2019/04/14,California
GM Cruise,2019/05/02,California
GM Cruise,2019/05/04,California
GM Cruise,2019/05/04,California
GM Cruise,2019/05/08,California
GM Cruise,2019/05/13,California
GM Cruise,2019/05/18,California
GM Cruise,2019/05/24,California
GM Cruise,2019/06/08,California
GM Cruise,2019/06/12,California
GM Cruise,2019/06/13,California
GM Cruise,2019/06/20,California
GM Cruise,2019/06/23,California
GM Cruise,2019/06/26,California
GM Cruise,2019/06/27,California
GM Cruise,2019/06/29,California
GM Cruise,2019/07/01,California
GM Cruise,2019/07/02,California
GM Cruise,2019/07/10,California
GM Cruise,2019/07/15,California
GM Cruise,2019/07/17,California
GM Cruise,2019/07/20,California
GM Cruise,2019/07/21,California
GM Cruise,2019/07/21,California
GM Cruise,2019/08/04,California
GM Cruise,2019/08/07,California
GM Cruise,2019/08/10,California
GM Cruise,2019/08/22,California
GM Cruise,2019/08/26,California
Lyft,2019/02/28,California
Lyft,2019/03/06,California
Lyft,2019/03/12,California
Lyft,2019/04/11,California
Lyft,2019/05/02,California
Pony.ai,2019/06/26,California
Pony.aI,2019/07/12,California
Waymo,2019/01/26,California
Waymo,2019/02/06,California
Waymo,2019/02/10,California
Waymo,2019/02/26,California
Waymo,2019/03/26,California
Waymo,2019/05/15,California
Waymo,2019/05/22,California
Waymo,2019/05/29,California
Waymo,2019/06/16,California
Waymo,2019/07/08,California
Waymo,2019/07/16,California
Waymo,2019/08/09,California
Waymo,2019/08/09,California
Waymo,2019/08/12,California
Waymo,2019/08/13,California
Zoox Inc,2019/06/11,California
Zoox Inc,2019/06/19,California
Zoox Inc,2019/07/23,California